# {W0 -> 1, a0 -> 0.01, zb -> 10, r -> 0.5, l -> 0.05, b -> 1,  q0 -> 0.005, p -> 0.5, h -> 0.1 }
#{z1 -> 3.537603, z2 -> 5.762877, u -> 4.5, w -> 0.1}
Nu0,M1,M2,stable
5.77,0,0,False

5.77,0,89.581,False

5.77,131.11,0,True

5.78,0,0,False

5.78,0,89.6963,False

5.78,131.266,0,True

5.79,0,0,False

5.79,0,89.8115,False

5.79,131.422,0,True

5.8,0,0,False

5.8,0,89.9266,False

5.8,131.578,0,True

5.81,0,0,False

5.81,0,90.0416,False

5.81,131.734,0,True

5.82,0,0,False

5.82,0,90.1565,False

5.82,131.89,0,True

5.83,0,0,False

5.83,0,90.2713,False

5.83,132.045,0,True

5.84,0,0,False

5.84,0,90.386,False

5.84,132.2,0,True

5.85,0,0,False

5.85,0,90.5006,False

5.85,132.355,0,True

5.86,0,0,False

5.86,0,90.615,False

5.86,132.51,0,True

5.87,0,0,False

5.87,0,90.7294,False

5.87,132.665,0,True

5.88,0,0,False

5.88,0,90.8437,False

5.88,132.82,0,True

5.89,0,0,False

5.89,0,90.9579,False

5.89,132.974,0,True

5.9,0,0,False

5.9,0,91.072,False

5.9,133.129,0,True

5.91,0,0,False

5.91,0,91.186,False

5.91,133.283,0,True

5.92,0,0,False

5.92,0,91.2999,False

5.92,133.437,0,True

5.93,0,0,False

5.93,0,91.4137,False

